"","text","in_reply_to_user_id","possibly_sensitive","created_at.x","reply_settings","conversation_id","author_id","lang","id","protected","location","profile_image_url","verified","username","created_at.y","name","description","pinned_tweet_id","url","geo_place_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"212","@chrislongview @queenmaryresist I assumed you had a groovy waterproof case. . https   twitter com Grania64156311 status 1441399310181023760 photo 1","800570658929262592",FALSE,2021-09-24 13:49:10,"everyone","1441119124566855683","1236309932598636544","en","1441399310181023760",FALSE,"Arizona, USA","https://pbs.twimg.com/profile_images/1601644549159276545/Wozrn1Mp_normal.jpg",FALSE,"Grania64156311","2020-03-07T15:17:27.000Z","Molly Lyons ☘️ Gráinne Ní Mháille 💛 ⚖️ 🐝","Molly Lyons 💛🐝⚖️ Theatre Artist. Dog mom. #BidenHarris  🐳@ mollylyons P0st @ mollylyons extinct elephant @ MollyLyonsGrania https://t.co/rABVma95Qp","1574867581391048705",NA,NA,0,1,1,0,0,2406,2769,92422,17,"@chrislongview @queenmaryresist I assumed you had a groovy waterproof case. https://t.co/k9tw8fBIqq"
"213","@Grania64156311 @queenmaryresist ive dropped one in the pool before. it was fine the next day.. ","1236309932598636544",FALSE,2021-09-24 13:50:47,"everyone","1441119124566855683","800570658929262592","en","1441399718924455937",FALSE,"Florida, USA","https://pbs.twimg.com/profile_images/1544507225846304768/gxbelS8D_normal.jpg",FALSE,"chrislongview","2016-11-21T05:24:53.000Z","Florida Chris","Proud Montanan & Floridian. Huge nerd w/ a lab named Shelby. I raise lots of $ for stuff. Loves: Emory, Vanderbilt, Columbia, USF, beach, clearly a homo.","1283579763215532038",NA,"44c12398792e903e",0,1,2,0,0,26052,2415,431836,90,"@Grania64156311 @queenmaryresist ive dropped one in the pool before. it was fine the next day."
"214","@chrislongview @queenmaryresist Ooookaaaay. ","800570658929262592",FALSE,2021-09-24 14:09:39,"everyone","1441119124566855683","1236309932598636544","en","1441404465324519436",FALSE,"Arizona, USA","https://pbs.twimg.com/profile_images/1601644549159276545/Wozrn1Mp_normal.jpg",FALSE,"Grania64156311","2020-03-07T15:17:27.000Z","Molly Lyons ☘️ Gráinne Ní Mháille 💛 ⚖️ 🐝","Molly Lyons 💛🐝⚖️ Theatre Artist. Dog mom. #BidenHarris  🐳@ mollylyons P0st @ mollylyons extinct elephant @ MollyLyonsGrania https://t.co/rABVma95Qp","1574867581391048705",NA,NA,0,0,1,0,0,2406,2769,92422,17,"@chrislongview @queenmaryresist Ooookaaaay"
"215","living on the beach is nice and all but the red tide could like not thx i’m fckn dying. ",NA,FALSE,2021-10-13 02:16:32,"everyone","1448110376185384967","1069373322","en","1448110376185384967",FALSE,"Florida, USA","https://pbs.twimg.com/profile_images/1304216476275048450/PIsY0vTu_normal.jpg",FALSE,"ybhtoobekoorb","2013-01-07T22:52:47.000Z","bb","i’m not sure what happened here","1298700610431221762",NA,"01c8a3ac38cc8902",0,0,0,0,0,314,56,9529,1,"living on the beach is nice and all but the red tide could like not thx i’m fckn dying"
"216","The doctor just checked my respiratory response. Says there’s some red tide leftovers. ",NA,FALSE,2021-10-16 21:14:07,"everyone","1449483818138849288","80042553","en","1449483818138849288",FALSE,"Everywhere USA","https://pbs.twimg.com/profile_images/1618796062730240002/KlwdAanb_normal.jpg",FALSE,"TampaEFL","2009-10-05T14:51:11.000Z","EFL","My “bio” changes with each day; life is entertaining like that 🎥 *Entertainment Value* Tweets are protected","1470932251802275846","https://t.co/b47uwhK1Uj","608a091166e5ddb0",0,0,0,0,0,1778,990,255094,159,"The doctor just checked my respiratory response. Says there’s some red tide leftovers"
"217","@BlackDogBrewing @TizzyEnt You’re not far off. Fertiliser from various sources get into our waterways and throw everything out of balance. Causing red tide as well as other negative biological stuff.. ","501692004",FALSE,2021-10-25 02:42:38,"everyone","1452088961183195144","7477722","en","1452465596868792321",FALSE,"Lightspeed Past the KuiperBelt","https://pbs.twimg.com/profile_images/1603533611390697472/6IBHDwDk_normal.jpg",FALSE,"Nhyrvana","2007-07-14T22:15:00.000Z","Nhyrvana","Sophomore Bodhisattva. Ravelizard. Hong Kong Cavalier. Methuselah.","1246457107475582979",NA,"e54569d90c7032c0",0,0,3,0,0,179,149,10693,4,"@BlackDogBrewing @TizzyEnt You’re not far off. Fertiliser from various sources get into our waterways and throw everything out of balance. Causing red tide as well as other negative biological stuff."
"218","The fish kill we experienced this past summer due to Red Tide  has made for a tough trout bite so far this winter. Nice to finally get on some!  #saltstrong #wadefishing #inshorefishing #speckledtrout @ Dunedin, Florida . https   www instagram com p CZ6tMqurZbl",NA,FALSE,2022-02-13 12:21:17,"everyone","1492836272557203458","372311956","en","1492836272557203458",FALSE,"Tarpon Springs, FL","https://pbs.twimg.com/profile_images/1539888320/Twitter_Photo_normal.jpg",FALSE,"waderdave","2011-09-12T14:59:08.000Z","David Ulgenalp","Over 40 years of experience wading Florida's flats, beaches and bays.  Guiding and teaching wade fisherman where, when and how to catch fish since 2001.",NA,"https://t.co/Q2eOhkrRZs","608a091166e5ddb0",0,0,0,0,0,38,25,367,0,"The fish kill we experienced this past summer due to Red Tide  has made for a tough trout bite so far this winter. Nice to finally get on some!  #saltstrong #wadefishing #inshorefishing #speckledtrout @ Dunedin, Florida https://t.co/GFlbLtLJ35"
"219","sweet home alabama dias of the red tide losses aubrum waves the canyon of jericho screams roses are being hexed #vortex 8.0m . https   twitter com KristenConkli11 status 1502460002249887749 photo 1",NA,FALSE,2022-03-12 01:42:33,"mentionedUsers","1502460002249887749","1104436203212939266","en","1502460002249887749",FALSE,"Florida, USA","https://pbs.twimg.com/profile_images/1573578544793489410/DblSjPdI_normal.jpg",FALSE,"KristenConkli11","2019-03-09T17:38:05.000Z","Talk Spectrum","Electromagnetism😮","1448084694692675592","https://t.co/44TYxPy4bd","0a647540e3d6f000",0,0,0,0,0,326,213,28341,2,"sweet home alabama dias of the red tide losses aubrum waves the canyon of jericho screams roses are being hexed #vortex 8.0m https://t.co/EUIWwkgIFN"
"220","@LonewolfDD01 @Fightful @Hpc2sweet More like red tide. ","754804508887220225",FALSE,2022-03-30 16:10:27,"everyone","1509146435891068930","307627884","en","1509201397958557704",FALSE,NA,"https://pbs.twimg.com/profile_images/1609390700273061888/U2PRpomy_normal.jpg",FALSE,"WillyM79","2011-05-30T00:35:42.000Z","William Moulton","Loving life at the moment",NA,NA,"e54569d90c7032c0",0,0,0,0,0,405,1552,23140,0,"@LonewolfDD01 @Fightful @Hpc2sweet More like red tide"
"221","@_cocoabrownskin You gonna catch red tide for sure. ","1324437224440635392",FALSE,2022-04-27 23:50:20,"everyone","1519458163350769664","841509466726121472","en","1519463992917438465",FALSE,"St Petersburg, FL","https://pbs.twimg.com/profile_images/1599140690956517382/1JsK1wwo_normal.jpg",FALSE,"MrCart3r25","2017-03-14T04:41:06.000Z","Dre Carter","Sports NFL NBA NCAA Basketball NCAA Football Federal employee  #PS5 #FlawdaBoy #Sagittarius #Buccaneers4lyfe #Husband #animelover #OGBleachfan","1605316960866406401",NA,"0121b34722b883df",0,0,0,0,0,4117,3939,14362,5,"@_cocoabrownskin You gonna catch red tide for sure"
