"","text","conversation_id","author_id","reply_settings","possibly_sensitive","lang","created_at.x","id","verified","location","profile_image_url","url","username","description","pinned_tweet_id","created_at.y","name","protected","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","in_reply_to_user_id","geo_place_id","text_with_display_links","reply.to.thread.no.term"
"21","RT @TheNewsPress: Fort Myers, Cape Coral at center of water quality tragedies - red tide and blue-green algal bloom  . https   newspr es 2vfXX1j. https   twitter com TheNewsPress status 1025450765945434112 photo 1","1025466165164953600","2694327829","everyone",FALSE,"en",2018-08-03 19:39:20,"1025466165164953600",FALSE,NA,"https://pbs.twimg.com/profile_images/494654323423330305/u0bNhYYr_normal.jpeg",NA,"dewarsneat","Dreamer of half dreamed dreams",NA,"2014-07-31T00:37:36.000Z","uncle Vito",FALSE,7,0,0,0,0,71,407,5373,1,NA,NA,"RT @TheNewsPress: Fort Myers, Cape Coral at center of water quality tragedies - red tide and blue-green algal bloom https://t.co/ozEX9DS9oV https://t.co/nPaqDgKRpS",FALSE
"22","RT @CoryODonnell: Fort Myers, Cape Coral at center of two water quality tragedies – red tide and blue-green algal bloom  via @thenewspress. https   newspr es 2vxQU3f","1025466828162850816","751811102175064065","everyone",FALSE,"en",2018-08-03 19:41:58,"1025466828162850816",FALSE,"Florida, USA","https://pbs.twimg.com/profile_images/1451641664607604739/2ovGtuQJ_normal.jpg",NA,"calusawater","Proud member of Waterkeeper Alliance for #fishable #swimmable #drinkable #cleanwater","1583643632804188160","2016-07-09T16:11:49.000Z","Calusa Waterkeeper",FALSE,5,0,0,0,0,2250,4967,44629,71,NA,NA,"RT @CoryODonnell: Fort Myers, Cape Coral at center of two water quality tragedies – red tide and blue-green algal bloom https://t.co/M22tPHXtK9 via @thenewspress",FALSE
"23","RT @CoryODonnell: Fort Myers, Cape Coral at center of two water quality tragedies – red tide and blue-green algal bloom  via @thenewspress. https   newspr es 2vxQU3f","1025466940003770368","867851851852427265","everyone",FALSE,"en",2018-08-03 19:42:25,"1025466940003770368",FALSE,"CA, NY, CT","https://pbs.twimg.com/profile_images/867859202349436928/bLNy0cis_normal.jpg",NA,"Voda_Foundation","Our 501(c)3 is dedicated to #CleanWater initiatives with a focus on water pollution awareness and solutions to protect USA’s water supply. RT≠Endorsements",NA,"2017-05-25T21:16:20.000Z","The Voda Foundation",FALSE,5,0,0,0,0,2741,4904,24996,53,NA,NA,"RT @CoryODonnell: Fort Myers, Cape Coral at center of two water quality tragedies – red tide and blue-green algal bloom https://t.co/M22tPHXtK9 via @thenewspress",FALSE
"24","@CoryODonnell @TheNewsPress both fed by the same excessive nutrient load. ","1025459989241114629","751811102175064065","everyone",FALSE,"en",2018-08-03 19:42:30,"1025466959503286273",FALSE,"Florida, USA","https://pbs.twimg.com/profile_images/1451641664607604739/2ovGtuQJ_normal.jpg",NA,"calusawater","Proud member of Waterkeeper Alliance for #fishable #swimmable #drinkable #cleanwater","1642942880154107921","2016-07-09T16:11:49.000Z","Calusa Waterkeeper",FALSE,0,0,1,0,0,2282,4957,44817,68,"16196649",NA,"@CoryODonnell @TheNewsPress both fed by the same excessive nutrient load",TRUE
"25","RT @CoryODonnell: Fort Myers, Cape Coral at center of two water quality tragedies – red tide and blue-green algal bloom  via @thenewspress. https   newspr es 2vxQU3f","1025477026159964165","763537721684070402","everyone",FALSE,"en",2018-08-03 20:22:30,"1025477026159964165",FALSE,"Mobile,al","https://pbs.twimg.com/profile_images/869609281783566338/8Po-Ujan_normal.jpg",NA,"ejd922again","",NA,"2016-08-11T00:49:13.000Z","LizD",FALSE,5,0,0,0,0,496,634,79199,1,NA,NA,"RT @CoryODonnell: Fort Myers, Cape Coral at center of two water quality tragedies – red tide and blue-green algal bloom https://t.co/M22tPHXtK9 via @thenewspress",FALSE
"26","Of course the are related... we have been dumping the same poop down the river for 50 years. Hurricane stirs it up, everything dies, it's not rocket science! #stoptheflow   Fort Myers, Cape Coral at center of two water quality tragedies.   via @thenewspress. https   newspr es 2vxQU3f","1025480271112675328","1341871604","everyone",FALSE,"en",2018-08-03 20:35:23,"1025480271112675328",FALSE,"Fort Myers FL.","https://pbs.twimg.com/profile_images/1311036349659648008/KV8MmIHN_normal.jpg",NA,"gregconsulting","Whiskey is for drinking; water is for fighting over. - Mark Twain",NA,"2013-04-10T13:07:46.000Z","Greg Gardner",FALSE,0,0,1,0,0,361,1108,2652,7,NA,NA,"Of course the are related... we have been dumping the same poop down the river for 50 years. Hurricane stirs it up, everything dies, it's not rocket science! #stoptheflow   Fort Myers, Cape Coral at center of two water quality tragedies.  https://t.co/fzSrWz1dmY via @thenewspress",FALSE
"27","@FrogNews @SenBillNelson I can quote articles too. “However, once red tide makes it to local beaches, growth can be influenced by agricultural and urban runoff, according to Mote Marine Laboratory in Sarasota.” Source: . https   www google com amp s amp naplesnews com amp 898800002","1025475519268179969","16280507","everyone",FALSE,"en",2018-08-03 20:40:22,"1025481522772496385",FALSE,"Miami, FL","https://pbs.twimg.com/profile_images/1605094966623182850/nwD0wOlh_normal.jpg","https://t.co/9leVSsYelq","Maddarilke","2nd identity of @ArtistDaniela; all my art is there. Major Nerd. I’m pretty opinionated. Raised in Italy. 🏳️‍🌈🏳️‍⚧️ ally. Cis/She/her.","1604082549441302528","2008-09-14T05:18:52.000Z","Dani S.",FALSE,0,0,0,0,0,1408,3138,101681,72,"727465726810968064",NA,"@FrogNews @SenBillNelson I can quote articles too. “However, once red tide makes it to local beaches, growth can be influenced by agricultural and urban runoff, according to Mote Marine Laboratory in Sarasota.” Source: https://t.co/rVLJNBurhP",FALSE
"28","Fort Myers, Cape Coral at center of 2 water quality tragedies – red tide + blue-green algal bloom  via @thenewspress. https   newspr es 2vxQU3f","1025520117642342400","751811102175064065","everyone",FALSE,"en",2018-08-03 23:13:43,"1025520117642342400",FALSE,"Florida, USA","https://pbs.twimg.com/profile_images/1451641664607604739/2ovGtuQJ_normal.jpg",NA,"calusawater","Proud member of Waterkeeper Alliance for #fishable #swimmable #drinkable #cleanwater","1583643632804188160","2016-07-09T16:11:49.000Z","Calusa Waterkeeper",FALSE,3,0,3,0,0,2250,4967,44629,71,NA,NA,"Fort Myers, Cape Coral at center of 2 water quality tragedies – red tide + blue-green algal bloom https://t.co/YT26x4gq4b via @thenewspress",FALSE
"29","""The red tide is thought to have claimed most of the animals, including a manatee that was tied to the dock at the Cape Coral Yacht Club Tuesday while the U.S. Army Corps of Engineers was fielding questions from an angry crowd a few hundred feet away."" . https   www news press com story news local 2018 08 03 red tide blue green algae fort myers naples sanibel sarasota army corps lake okeechobee florida 870339002","1025521136677863424","716472581625282560","everyone",FALSE,"en",2018-08-03 23:17:46,"1025521136677863424",FALSE,"Florida, USA","https://pbs.twimg.com/profile_images/889557316533706752/h7grxDfc_normal.jpg","https://t.co/OaReLQmfJ8","SaveFLWatersNow","Spreading awareness about the environmental devastation our beautiful state is currently suffering, especially to our most precious resource: water.","903814489858035716","2016-04-03T03:49:09.000Z","🌊Florida Waters💦",FALSE,0,0,4,1,0,560,246,7676,29,NA,NA,"""The red tide is thought to have claimed most of the animals, including a manatee that was tied to the dock at the Cape Coral Yacht Club Tuesday while the U.S. Army Corps of Engineers was fielding questions from an angry crowd a few hundred feet away."" https://t.co/BYWKccOK3G",FALSE
"30","RT @calusawater: Fort Myers, Cape Coral at center of 2 water quality tragedies – red tide + blue-green algal bloom  via @thenewspress. https   newspr es 2vxQU3f","1025536001358422023","154637374","everyone",FALSE,"en",2018-08-04 00:16:50,"1025536001358422023",FALSE,"McLean/Great Falls VA","https://pbs.twimg.com/profile_images/981173191/WEB_normal.jpg","http://t.co/bT2IZyhJHc","TLVickie","Licensed in VA",NA,"2010-06-11T20:07:08.000Z","Vickie Christianson",FALSE,3,0,0,0,0,193,77,2625,11,NA,NA,"RT @calusawater: Fort Myers, Cape Coral at center of 2 water quality tragedies – red tide + blue-green algal bloom https://t.co/YT26x4gq4b via @thenewspress",FALSE
