"","text","id","conversation_id","created_at.x","lang","possibly_sensitive","author_id","reply_settings","in_reply_to_user_id","location","name","username","protected","verified","description","profile_image_url","created_at.y","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","url","pinned_tweet_id","text_with_display_links"
"21","No algae bloom or red tide in Titusville. Safe stop. #SlickRick running away at other stops. #VoteBillNelson . https   twitter com jaketapper status 1042757015163031552","1042760120004952065","1042760120004952065",2018-09-20 12:59:20,"en",FALSE,"1045136112","everyone",NA,"San Antonio, Fl","Diane Verhoest","lfsgd_diane",FALSE,FALSE,"Retired Teacher. FL via NH via MA. Equality Advocate since '68. Not stopping now. Pass the damn ERA! My Sports & entertainment Acct: @SportsandRving","https://pbs.twimg.com/profile_images/1570914858442309640/CHcBIOgg_normal.jpg","2012-12-29T15:16:02.000Z",0,0,0,0,0,"0078551d41f411af",2130,4627,156474,96,NA,"1144261559142748160","No algae bloom or red tide in Titusville. Safe stop. #SlickRick running away at other stops. #VoteBillNelson https://t.co/9rgOoWzj7t"
"22","It’s Science and Ecology. And no one cares about Science Ecosystems in this country unless they can make a buck. That is NOT the #GOP Another reason Florida’s Red Tide is so bad this year: Pollution from the Mississippi River . http   www tampabay com news environment Another reason Florida s Red Tide is so bad this year Pollution from the Mississippi River_171932427","1042762587883167744","1042762587883167744",2018-09-20 13:09:09,"en",FALSE,"1045136112","everyone",NA,"San Antonio, Fl","Diane Verhoest","lfsgd_diane",FALSE,FALSE,"Retired Teacher. FL via NH via MA. Equality Advocate since '68. Not stopping now. Pass the damn ERA! My Sports & entertainment Acct: @SportsandRving","https://pbs.twimg.com/profile_images/1570914858442309640/CHcBIOgg_normal.jpg","2012-12-29T15:16:02.000Z",0,0,0,0,0,"0078551d41f411af",2130,4627,156474,96,NA,"1144261559142748160","It’s Science and Ecology. And no one cares about Science Ecosystems in this country unless they can make a buck. That is NOT the #GOP Another reason Florida’s Red Tide is so bad this year: Pollution from the Mississippi River https://t.co/tUIpiVyL2g"
"23",". https   thehill com homenews state watch 407141 florida governor booed out of restaurant over red tide algae issues","1042884134165774336","1042884134165774336",2018-09-20 21:12:08,"zxx",FALSE,"497468210","everyone",NA,"I'm still 👉🌎","Rule of Law","BaconJoel",FALSE,FALSE,"Environment","https://pbs.twimg.com/profile_images/739561742057885697/GKSgtVEh_normal.jpg","2012-02-20T01:18:56.000Z",0,0,0,0,0,"0160ed302dcb7707",1014,4780,56512,17,NA,NA,"https://t.co/XSxTkUhm58"
"24","How clever. #TrickyRick wants Research 8 Years LATE! (Same guy who banned #ClimateChange from gov docs) #BanRickScott #VoteBillNelson After boos and protests, Rick Scott calls for red tide research center, task force . https   www orlandoweekly com Blogs archives 2018 09 20 after boos and protests rick scott calls for red tide research center task force","1042917549741170689","1042917549741170689",2018-09-20 23:24:54,"en",FALSE,"1045136112","everyone",NA,"San Antonio, Fl","Diane Verhoest","lfsgd_diane",FALSE,FALSE,"Retired Teacher. FL via NH via MA. Equality Advocate since '68. Not stopping now. Pass the damn ERA! My Sports & entertainment Acct: @SportsandRving","https://pbs.twimg.com/profile_images/1570914858442309640/CHcBIOgg_normal.jpg","2012-12-29T15:16:02.000Z",0,0,0,0,0,"0078551d41f411af",2130,4627,156474,96,NA,"1144261559142748160","How clever. #TrickyRick wants Research 8 Years LATE! (Same guy who banned #ClimateChange from gov docs) #BanRickScott #VoteBillNelson After boos and protests, Rick Scott calls for red tide research center, task force https://t.co/b0BT9DmssC"
"25","On Wednesday Scott said Florida just needed a “Good East Wind”. #RickScott is #FullOfAir After boos and protests, Rick Scott calls for red tide research center, task force . https   www orlandoweekly com Blogs archives 2018 09 20 after boos and protests rick scott calls for red tide research center task force","1042917988125556737","1042917988125556737",2018-09-20 23:26:39,"en",FALSE,"1045136112","everyone",NA,"San Antonio, Fl","Diane Verhoest","lfsgd_diane",FALSE,FALSE,"Retired Teacher. FL via NH via MA. Equality Advocate since '68. Not stopping now. Pass the damn ERA! My Sports & entertainment Acct: @SportsandRving","https://pbs.twimg.com/profile_images/1570914858442309640/CHcBIOgg_normal.jpg","2012-12-29T15:16:02.000Z",0,0,0,0,0,"0078551d41f411af",2130,4627,156474,96,NA,"1144261559142748160","On Wednesday Scott said Florida just needed a “Good East Wind”. #RickScott is #FullOfAir After boos and protests, Rick Scott calls for red tide research center, task force https://t.co/b0BT9DmssC"
"26","Different kind of red tide.... . https   twitter com WFLA status 1043895500620136448","1043899807063060480","1043899807063060480",2018-09-23 16:28:03,"en",FALSE,"3248075346","everyone",NA,"Hell","Robert Paulson","BalzHari",FALSE,FALSE,"","https://pbs.twimg.com/profile_images/1519346201363103746/AtRYrzu0_normal.jpg","2015-06-17T19:36:09.000Z",0,0,0,0,0,"48754d0fac025a6f",91,853,17314,1,NA,NA,"Different kind of red tide.... https://t.co/xOGCS9K4IV"
"27","How can DeSantis fight #RedTide? @RepGusBilirakis said he would take care of that all Next Week! #NoRealPromises . https   twitter com FloridaGOP status 1044745085093642240","1045875095561011201","1045875095561011201",2018-09-29 03:17:08,"en",FALSE,"1045136112","everyone",NA,"San Antonio, Fl","Diane Verhoest","lfsgd_diane",FALSE,FALSE,"Retired Teacher. FL via NH via MA. Equality Advocate since '68. Not stopping now. Pass the damn ERA! My Sports & entertainment Acct: @SportsandRving","https://pbs.twimg.com/profile_images/1570914858442309640/CHcBIOgg_normal.jpg","2012-12-29T15:16:02.000Z",0,0,0,0,0,"0078551d41f411af",2130,4627,156474,96,NA,"1144261559142748160","How can DeSantis fight #RedTide? @RepGusBilirakis said he would take care of that all Next Week! #NoRealPromises https://t.co/VWKIUxbuMu"
"28","@Gater_Chomp @Tygartman @SteveKornacki And the results of red tide. . https   twitter com PasteIpunk status 1050400351764054016 photo 1","1050400351764054016","1050331012088168448",2018-10-11 14:58:54,"en",FALSE,"900976849","everyone","233232026","Florida, Chicago","Pastel Punk ♏️","PasteIpunk",FALSE,FALSE,"Those who destroy each other in the name of political systems are greedy, lustful men. Their power depends on many people. Deny them yours; they are powerless.","https://pbs.twimg.com/profile_images/1589709120088817664/nlsDwxnp_normal.jpg","2012-10-24T01:50:24.000Z",0,0,2,0,0,"2d1b0aee7297f004",323,98,25247,0,NA,NA,"@Gater_Chomp @Tygartman @SteveKornacki And the results of red tide. https://t.co/TxIIdLHxKS"
"29","Red Tide? #ROLLTIDE @GeoOnAir @RadioKayla. ","1051261372972052480","1051261372972052480",2018-10-14 00:00:17,"da",FALSE,"876939252","everyone",NA,NA,"michael terrell jr","michaelt02jr",FALSE,FALSE,"a lil well balanced slug, long board GRAD","https://pbs.twimg.com/profile_images/1599592635622215680/Hb2h4YQC_normal.jpg","2012-10-13T03:07:52.000Z",0,0,0,0,0,"2d1b0aee7297f004",70,368,3341,1,NA,NA,"Red Tide? #ROLLTIDE @GeoOnAir @RadioKayla"
"30","RED TIDE RICK NOT FOR SENATOR!

 . https   communitynewspapers com south miami red tide rick. https   twitter com paulmcclintock status 1053081909910298624 photo 1","1053081909910298624","1053081909910298624",2018-10-19 00:34:27,"en",FALSE,"61768027","everyone",NA,"West Coast of Central Florida","Paul McClintock","paulmcclintock",FALSE,FALSE,"Long retired K9 LEO■
HACKER STILL UNFOLLOWING
HUNDREDS that FOLLOW ME!
🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑
TWITTER: PLEASE REFOLLOW ALL THAT FOLLOW ME!

@TWITTER SUPPORT 🛑","https://pbs.twimg.com/profile_images/1572640573470687234/rf4cOXod_normal.jpg","2009-07-31T13:16:49.000Z",0,0,0,0,0,"41de88d76c42e840",18721,10680,414566,573,NA,"1616828084233158656","RED TIDE RICK NOT FOR SENATOR!

https://t.co/HK1z0jxqhx https://t.co/XXB07t4xKg"
