"","text","possibly_sensitive","conversation_id","lang","author_id","created_at.x","reply_settings","id","in_reply_to_user_id","username","location","profile_image_url","name","protected","created_at.y","verified","url","description","geo_place_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","pinned_tweet_id","text_with_display_links"
"256","Starting the day checking on my little algae’s. They seem pretty happy today. . https   twitter com PDSKirk status 1198987522891759620 photo 1",FALSE,"1198987522891759620","en","3407500768",2019-11-25 15:31:16,"everyone","1198987522891759620",NA,"PDSKirk","Plant City, FL","https://pbs.twimg.com/profile_images/1353424724471111680/L0rpr7i7_normal.jpg","The PDS Kirk Griffin",FALSE,"2015-08-07T16:48:29.000Z",FALSE,"https://t.co/AsHiFf19Ha","Full time ag-worker, husband, and father. Part time gamer, pontificator, podcast host, and social media manager of the podcast discovery show.","5a5924d17d76eb63",0,1,3,0,0,280,663,5386,9,NA,"Starting the day checking on my little algae’s. They seem pretty happy today. https://t.co/mgo70WL9q8"
"257","@PDSKirk I didn't even see you do this. I am going to be on the lookout so I can get in the background next time.. ",FALSE,"1198987522891759620","en","139155422",2019-11-25 18:39:56,"everyone","1199035004623446018","3407500768","zachhowe","Plant City, FL","https://pbs.twimg.com/profile_images/1050987555804581888/vLPKIpAE_normal.jpg","Zach Howe",FALSE,"2010-05-01T18:30:54.000Z",FALSE,NA,"Attempting Writer, podcaster @thepdsofficial @creatorscovepod, Movie/TV fan, disc-golfer, and idiot.",NA,0,1,1,0,0,55,31,203,1,NA,"@PDSKirk I didn't even see you do this. I am going to be on the lookout so I can get in the background next time."
"258","@zachhowe I didn’t want you to see so I waited till you were out of the room lol. ",FALSE,"1198987522891759620","en","3407500768",2019-11-25 21:01:26,"everyone","1199070613224198145","139155422","PDSKirk","Plant City, FL","https://pbs.twimg.com/profile_images/1353424724471111680/L0rpr7i7_normal.jpg","The PDS Kirk Griffin",FALSE,"2015-08-07T16:48:29.000Z",FALSE,"https://t.co/AsHiFf19Ha","Full time ag-worker, husband, and father. Part time gamer, pontificator, podcast host, and social media manager of the podcast discovery show.","5a5924d17d76eb63",0,0,0,0,0,280,663,5386,9,NA,"@zachhowe I didn’t want you to see so I waited till you were out of the room lol"
"259","We have Gaetz and guns, red tide and racism but when I see #snowstorm trending it reminds my why I moved to Florida!

#flipFLBlue
#ImpeachDonaldTrumpNOW
#GOPComplicitTraitors . https   twitter com antiqueK status 1199371594784747520 photo 1",FALSE,"1199371594784747520","en","42253358",2019-11-26 16:57:26,"everyone","1199371594784747520",NA,"antiqueK","New York, USA","https://pbs.twimg.com/profile_images/1523315831211446273/Bychq83j_normal.jpg","🌊AntiqueK🌻",FALSE,"2009-05-24T18:11:25.000Z",FALSE,NA,"Soul of a mermaid mouth of a sailor. 
#guncontrol #atheist","dc62519fda13b4ec",0,0,2,0,0,8070,8049,11067,1,"1292188081739706369","We have Gaetz and guns, red tide and racism but when I see #snowstorm trending it reminds my why I moved to Florida!

#flipFLBlue
#ImpeachDonaldTrumpNOW
#GOPComplicitTraitors https://t.co/M8Lqz03Elr"
"260","Red tide and booze puke . https   twitter com williamzabka42 status 1201974999613095936",FALSE,"1202300462659198976","en","262025657",2019-12-04 18:55:42,"everyone","1202300462659198976",NA,"matteblackeye","New York","https://pbs.twimg.com/profile_images/1618012107882078208/PBki5Rly_normal.jpg","Bunny 🐰",FALSE,"2011-03-07T05:29:04.000Z",FALSE,NA,"38 they/them non-binary Nameless, Formless on tumblr. married to @myndcryme56 (unfortunate for him)","dc62519fda13b4ec",0,0,5,0,0,1185,1183,23258,4,"1615543644173340673","Red tide and booze puke https://t.co/1J1I1Qi5vn"
"261","@mochilovesmochi camille rose algae renew helps me with dryness a lot, not sure if it’d be too heavy for ur hair ,maybe?. ",FALSE,"1208915599272878085","en","564845476",2019-12-23 12:54:40,"everyone","1209094976640077825","988836566381596680","fkacassandra","she/her","https://pbs.twimg.com/profile_images/1611576453514104832/P9fXNQ5Q_normal.jpg","cassandra ⁷ 🇵🇦",FALSE,"2012-04-27T19:07:19.000Z",FALSE,NA,"i just retweet bts stuff so think about it b4 u follow","76d195c1204e61b2",0,0,0,0,0,404,592,17686,13,"1514731857161641993","@mochilovesmochi camille rose algae renew helps me with dryness a lot, not sure if it’d be too heavy for ur hair ,maybe?"
"262","@edsbs Also the beaches alternate between having necrotizing fasciitis and red tide every other month. ",FALSE,"1219328781263032320","en","318024492",2020-01-20 18:51:43,"everyone","1219331690750971912","7452872","_zachferguson","Tampa, FL","https://pbs.twimg.com/profile_images/1275080361886670850/RiEhq-NI_normal.jpg","Zach Ferguson",FALSE,"2011-06-15T21:00:43.000Z",FALSE,NA,"#RollTide","01af119d415cd7d2",0,0,6,0,0,214,130,11233,10,NA,"@edsbs Also the beaches alternate between having necrotizing fasciitis and red tide every other month"
"263","From Red Tide to #RollTide . https   twitter com TBTimes_Bulls status 1229804461654257664",FALSE,"1229809368033628160","en","109240047",2020-02-18 16:46:16,"everyone","1229809368033628160",NA,"TylerGraddy","Tampa Bay, FL | Orlando, FL","https://pbs.twimg.com/profile_images/1324152152894382089/fUSL5VbI_normal.jpg","Tyler Graddy",FALSE,"2010-01-28T12:02:51.000Z",FALSE,"https://t.co/2vfPysntu5","Jack of All Trades, Master of Fun","dc62519fda13b4ec",0,0,0,0,0,862,973,4724,11,NA,"From Red Tide to #RollTide https://t.co/jyFOqy3Mc2"
"264","@xmethuselahx @Pneumatic123 @Bayou_Bengals @GOPChairwoman @EricTrump Yep.  Need that red tide.  I like a government that tells me what to do and how to think and then, if I disagree, they add me to a Trump hit list.  Very comforting.. ",FALSE,"1232512668533239808","en","1548980701",2020-02-27 19:34:12,"everyone","1233113117854441477","102415827","floridablue97","Florida, USA","https://pbs.twimg.com/profile_images/1363318934376693760/UMftG-DL_normal.jpg","Karl",FALSE,"2013-06-26T19:45:05.000Z",FALSE,NA,"University of Michigan, 1980, #GoBlue University of Florida, 1982. 
Mets #LFGM, Jets, Islanders fan.","70b7be4d968912d3",0,2,2,0,0,2300,4632,20022,0,NA,"@xmethuselahx @Pneumatic123 @Bayou_Bengals @GOPChairwoman @EricTrump Yep.  Need that red tide.  I like a government that tells me what to do and how to think and then, if I disagree, they add me to a Trump hit list.  Very comforting."
"265","Watching the sunset through our #algae PBRs . https   twitter com PDSKirk status 1233882014568341506 photo 1",FALSE,"1233882014568341506","en","3407500768",2020-02-29 22:29:31,"everyone","1233882014568341506",NA,"PDSKirk","Plant City, FL","https://pbs.twimg.com/profile_images/1353424724471111680/L0rpr7i7_normal.jpg","The PDS Kirk Griffin",FALSE,"2015-08-07T16:48:29.000Z",FALSE,"https://t.co/AsHiFf19Ha","Full time ag-worker, husband, and father. Part time gamer, pontificator, podcast host, and social media manager of the podcast discovery show.","5a5924d17d76eb63",0,0,0,0,0,280,663,5386,9,NA,"Watching the sunset through our #algae PBRs https://t.co/ZY0NIaKaQA"
